ID,X,Y,Z,U
0,444.006,-21.9232,-147.833,35.116
1,478.546,-35.5133,-190.143,46.6809
2,344.763,68.4448,-153.759,-58.0151
3,393.091,-45.7855,-189.554,51.3831
4,359.723,-83.5071,-80.8325,-47.7502
5,384.821,-46.192,-73.7488,19.3359
6,385.767,43.2092,-170.725,-17.1643
7,391.785,-20.6543,-87.5018,32.9443
8,346.075,-68.8898,-184.461,-10.3088
9,381.848,78.9203,-112.799,36.687
10,478.394,-54.1681,-106.241,-22.3352
11,303.473,-74.4763,-118.883,34.4751
12,348.334,40.3253,-199.769,25.3198
13,361.487,52.4432,-104.874,-58.0151
14,387.634,-78.5523,-137.084,-35.2112
15,417.871,51.1633,-94.8163,54.0198
16,357.471,-40.8637,-139.882,36.6211
17,317.542,31.734,-185.26,-33.1641
18,336.7,-41.9568,-73.3472,-0.380859
19,339.124,-54.3219,-85.3571,35.5005
20,435.162,-68.3514,-132.487,55.6934
21,370.758,11.3708,-109.428,-33.7866
22,431.976,-1.04919,-180.945,-10.3088
23,410.852,81.9415,-122.028,-56.3159
24,338.794,-56.4368,-122.344,4.24805
25,393.866,-64.3469,-75.5432,-26.554
26,488.086,55.3711,-184.106,9.63501
27,341.107,-51.1908,-180.27,-40.7849
28,346.442,14.6777,-133.785,8.60229
29,436.517,-8.88245,-146.979,35.2222
30,452.826,-41.1658,-87.8864,16.2048
31,427.417,-36.3867,-161.992,-46.4246
32,481.891,-48.6035,-113.214,-5.32104
33,350.33,-0.977783,-94.7864,46.5857
34,432.214,13.7384,-160.668,43.2532
35,381.738,-35.3375,-158.04,44.1248
36,339.63,-0.774536,-191.6,3.01392
37,413.873,67.8461,-80.2258,-54.0527
38,315.466,29.8279,-76.637,36.7419
39,355.499,43.7421,-150.7,-50.929
40,309.851,55.2777,-106.993,23.7561
41,357.684,-14.1943,-77.2522,30.0732
42,399.994,-25.3015,-158.314,49.7534
43,364.575,-61.3806,-136.208,22.4853
44,403.455,-39.2377,-166.999,-48.3398
45,389.221,53.3331,-135.003,-50.9106
46,416.431,86.2976,-99.0289,-42.5317
47,314.301,45.5273,-107.249,9.2981
48,477.033,-26.521,-111.304,21.0864
49,417.926,-64.4019,-80.3241,-18.5193
50,353.583,85.4242,-65.4431,12.1765
51,424.445,-88.3246,-175.446,-39.6973
52,457.886,-19.649,-74.1589,41.0083
53,480.182,34.9915,-60.2521,29.0881
54,483.496,8.22876,-120.032,-41.7114
55,454.248,-32.2339,-133.875,-52.8552
56,369.019,-30.108,-146.889,-49.9878
57,364.319,-16.3751,-104.519,52.1191
58,386.389,-41.2921,-63.5931,-52.6868
59,327.399,20.462,-139.549,17.3328
60,354.144,-35.2881,-80.3882,11.2903
61,435.626,15.8478,-108.052,24.137
62,375.702,41.2262,-117.738,12.8723
63,357.037,84.9133,-135.93,29.2383
64,302.661,-45.9723,-107.625,47.6404
65,461.353,0.730591,-93.4705,7.06055
66,323.071,-67.0221,-67.4084,25.6934
67,470.758,-42.7698,-115.431,-32.915
68,474.695,6.16333,-86.1304,-3.52295
69,435.687,-85.4352,-193.6,-13.8208
70,483.331,76.5308,-83.3575,8.62427
71,435.608,47.0215,-101.9,15.9595
72,326.056,21.0333,-180.509,-15.1831
73,404.785,-46.6205,-73.9496,-54.8731
74,319.531,-7.7179,-144.667,-28.3887
75,483.087,49.8505,-133.14,36.8079
76,333.27,22.6593,-144.936,44.2932
77,491.742,-74.5752,-175.224,-59.0955
78,327.918,10.9973,-161.236,-13.2861
79,334.149,-40.221,-103.391,1.43921
80,418.549,-88.3301,-145.659,-53.8586
81,321.619,83.6719,-155.836,58.8794
82,462.933,-53.7122,-96.2817,23.1006
83,424.194,1.82922,-165.842,-52.489
84,374.829,-62.2156,-183.495,-3.78662
85,446.417,-21.6705,-134.375,7.76367
86,362.237,-72.8888,-88.8391,22.0459
87,328.095,24.505,-155.131,53.5583
88,490.735,-87.6654,-76.3251,29.9634
89,370.105,9.32739,-112.141,34.6436
90,371.686,-29.707,-156.271,-28.0554
91,385.156,-27.713,-129.838,-6.04614
92,375.598,40.7428,-141.613,-32.5378
93,373.59,-81.1835,-95.6281,39.9463
94,370.337,-87.0062,-176.753,-16.7102
95,324.139,-1.86218,-74.9835,-26.0522
96,384.454,-44.9561,-198.881,8.38257
97,339.74,-16.3202,-79.0125,12.4805
98,395.447,65.2258,-151.794,3.68774
99,488.275,35.9802,-164.539,-35.3613
100,443.042,86.358,-112.227,-12.9858
101,378.381,48.0377,-166.679,-15.6006
102,467.487,62.3694,-188.704,12.854
103,460.229,-86.7645,-183.919,17.9883
104,472.809,-22.5659,-192.822,47.2485
105,451.282,-4.28467,-135.704,-13.7842
106,415.125,57.6343,-63.1232,-22.3865
107,487.122,3.27942,-72.4927,-18.1824
108,415.894,15.0897,-61.3971,-2.40601
109,397.174,42.7808,-118.357,1.80908
110,300.226,-65.4016,-181.517,46.9006
111,305.536,77.9865,-186.055,54.8108
112,460.144,-77.2284,-170.768,-13.8391
113,356.738,-49.9823,-164.603,43.4106
114,442.871,-40.3143,-163.667,26.759
115,366.51,-39.809,-159.365,21.5039
116,464.111,-46.983,-108.309,-24.3237
117,397.595,35.4474,-84.6094,-13.3777
118,446.338,-5.32837,-85.1733,55.3418
119,460.516,-3.78479,-148.615,47.2961
120,382.056,-80.0464,-118.469,58.4692
121,339.349,26.8121,-131.23,5.39063
122,422.101,-30.8167,-179.954,-42.0886
123,342.505,88.3411,-113.953,33.4497
124,488.928,31.8329,-105.267,51.4856
125,378.522,74.0753,-142.514,47.0325
126,414.856,-6.80054,-122.754,41.8396
127,356.854,-12.6563,-81.9604,52.0752
128,405.383,-76.5033,-174.792,51.2732
129,313.617,-38.0621,-84.2163,27.2205
130,427.472,-70.4553,-131.636,-28.3923
131,462.415,-55.025,-128.176,-58.8428
132,322.803,28.8831,-197.71,28.9966
133,370.081,-57.6837,-172.272,24.9866
134,446.057,46.4117,-110.479,43.8061
135,457.483,-73.548,-79.5721,-20.4675
136,428.235,73.537,-71.745,25.426
137,425.305,-53.1299,-155.327,-2.28149
138,464.893,49.823,-191.489,-57.865
139,404.81,82.9742,-197.073,1.88965
140,329.456,87.1106,-124.198,-14.0625
141,433.643,59.4635,-137.208,-23.8293
142,311.481,-83.8312,-157.686,12.4036
143,456.598,-35.7825,-178.052,-46.2085
144,479.944,-24.1534,-114.44,-44.48
145,451.404,88.6981,-139.446,19.4531
146,471.521,4.69116,-125.42,17.5305
147,479.504,70.8344,-118.819,-33.3508
148,403.87,-4.8999,-196.411,33.7756
149,461.847,40.4077,-83.7677,50.0317
150,313.91,89.967,-106.848,52.5439
151,479.639,-13.0463,-77.1368,-47.2595
152,321.112,-38.1885,-61.1237,-30.0916
153,400.171,50.1471,-194.591,48.7427
154,315.759,14.4415,-132.452,19.5813
155,427.564,-67.3132,-194.706,40.1917
156,372.253,87.0502,-179.163,-42.2607
157,378.558,-44.3079,-141.531,9.76685
158,487.378,-19.0997,-93.5431,-57.1106
159,483.295,-23.3954,-119.682,48.0029
160,443.585,8.45398,-103.177,-9.30542
161,311.108,-50.4437,-141.899,15.6555
162,397.278,-55.0031,-144.744,43.8245
163,421.301,-31.723,-109.155,41.0229
164,392.09,-17.2101,-130.389,56.8066
165,338.91,-28.526,-103.199,-47.6843
166,397.168,87.7203,-126.501,-24.1443
167,455.505,10.7336,-171.665,44.967
168,470.459,-81.5845,-165.09,-26.2756
169,454.968,0.900879,-165.632,-55.99
170,446.973,27.9108,-107.574,-20.4492
171,464.282,32.9865,-189.703,1.40259
172,352.087,27.7844,-121.143,-56.3013
173,329.272,-10.47,-124.591,-51.6321
174,339.807,14.7766,-87.5531,-2.40234
175,415.454,82.5238,-182.197,-37.24
176,356.073,39.9573,-184.482,28.5938
177,333.752,-26.2244,-113.175,-48.6255
178,327.008,-39.6442,-119.344,-10.21
179,391.315,77.8107,-147.026,47.3291
180,472.223,33.1018,-95.6152,-15.1135
181,367.285,7.27295,-164.667,42.3743
182,343.091,-87.9456,-151.67,8.03101
183,413.586,-79.2059,-183.508,34.259
184,386.029,6.97632,-112.111,58.6597
185,480.707,-86.6052,-195.044,9.06738
186,430.792,-14.8755,-151.58,31.3367
187,468.469,-30.6189,-194.911,38.562
188,303.711,-4.55383,-151.115,-19.3982
189,301.813,-62.265,-125.488,12.5244
190,366.04,-64.8303,-86.9421,40.8215
191,331.598,69.9774,-150.952,-13.8977
192,377.173,-1.01623,-191.84,1.01807
193,460.345,-39.3915,-144.877,-57.8394
194,482.977,-9.35486,-188.939,-25.2795
195,393.06,29.9487,-70.2881,48.6072
196,329.034,-82.8479,-118.071,4.81567
197,412.988,-30.4321,-132.269,-29.2383
198,498.944,65.3577,-94.5813,43.374
199,482.41,-89.8572,-143.018,-1.33301
200,477.6,21.1267,-120.669,-53.4851
201,468.408,-8.1189,-199.432,29.4653
202,339.478,50.9656,-89.198,-35.7642
203,493.652,-42.616,-153.191,4.72412
204,361.902,-13.8318,-120.049,45.2527
205,412.189,27.0538,-113.325,2.77588
206,363.336,-70.5267,-108.933,-3.14209
207,410.229,-3.02673,-161.3,-13.916
208,366.656,84.1663,-168.717,19.7571
209,331.903,-20.6873,-118.601,43.5571
210,387.457,65.7477,-143.257,57.9126
211,330.054,85.1935,-66.7889,47.9114
212,347.29,36.0846,-153.734,3.38379
213,442.041,-49.8944,-80.1105,48.0176
214,311.993,60.0073,-77.4615,36.1816
215,490.491,81.7877,-150.542,-43.7659
216,454.938,24.4995,-199.235,19.0906
217,309.076,-9.38232,-165.397,-29.2529
218,345.313,-59.6942,-95.1495,-12.4548
219,493.341,-57.5024,-77.3846,52.9321
220,361.42,86.0889,-88.9331,54.4409
221,476.422,34.2554,-127.197,19.6765
222,428.961,-84.9353,-100.759,-29.9963
223,329.877,11.5247,-138.592,10.7483
224,484.283,44.1376,-88.5956,16.615
225,489.441,9.14612,-125.954,11.1108
226,462.701,-54.4482,-122.028,-1.33301
227,405.817,54.0527,-114.388,-11.7151
228,411.762,-18.9789,-88.5785,47.395
229,320.453,-49.3451,-152.289,44.6997
230,329.51,38.3862,-152.537,0.743408
231,366.333,88.7421,-96.4355,-14.9927
232,327.795,-9.27246,-146.295,-1.82007
233,393.738,-66.1322,-149.538,-21.5405
234,320.544,-1.96106,-134.17,10.5652
235,321.051,-39.7705,-190.344,36.2329
236,437.036,-68.6646,-188.734,-15.0256
