ID;CenterL_X;CenterL_Y;CenterR_X;CenterR_Y;Xrobot;Xcalculated;XIA;DeltaX;DeltaXIA;Yrobot;Ycalculated;YIA;DeltaY;DeltaYIA;Zrobot;Zcalculated;ZIA;DeltaZ;DeltaZIA;Urobot;Ucalculated;UIA;DeltaU;DeltaUIA
355;599;307;436;330;304,016;227,80061886481542;308,7182;76,2153811351846;-4,7022006835937304;-88,5608;-95,3665869111586;-84,019455;6,805786911158606;-4,541345043945313;-100,4604;-155,29603782893247;-67,636696;54,83563782893246;3,1762958618163992;39,2835;47,230618700527344;40,597725;-7,947118700527348;-1,3142249145507847
15;714;473;524;488;378,863;327,8225789081;378,34296;51,04042109189999;0,5200434570312495;-18,7866;-18,85445907359636;-18,363354;0,06785907359635956;-0,4232462707519531;-207,439;-267,0710052562963;-172,37016;59,63200525629631;0,9311629638671945;-43,8794;0;-43,799183;-43,8794;-0,08021710815429373
221;883;518;674;528;425,824;370,75316930091685;426,37042;55,07083069908316;-0,5464223632812377;67,1924;77,79938958383757;67,98793;-10,60698958383756;-0,7955302978515562;-229,104;-288,97459006409537;-193,2387;59,87059006409535;0,13469323730467408;-25,0232;-19,07708622168072;-26,743906;-5,94611377831928;1,7207060211181648
131;622;441;404;461;456,921;410,2129484361467;455,0442;46,7080515638533;1,8768105468749923;-71,6419;-77,37144057976701;-71,72325;5,729540579767004;0,0813513427734307;-188,935;-239,73215937988238;-152,6627;50,79715937988237;-0,2722955322265648;-19,7058;0;-18,40633;-19,7058;-1,2994698913574219
196;642;328;476;349;312,689;236,47612808262727;314,36008;76,21287191737275;-1,6710769042968536;-60,9192;-63,4646185784133;-61,64198;2,5454185784133045;0,7227792175293004;-114,2776;-171,16932738676346;-79,50812;56,89172738676345;1,2305176757812433;-12,1619;0;-11,229312;-12,1619;-0,9325880569458
324;819;308;635;326;347,784;280,6320766312863;346,30643;67,15192336871371;1,4775729980468668;47,049;57,90678018597761;46,511234;-10,85778018597761;0,5377657165527339;-104,2031;-159,05078029427978;-68,37919;54,84768029427977;0,17608853759764997;38,2617;42,727032859234896;37,630894;-4,465332859234898;0,630806292724607
365;643;442;473;460;325,147;263,13393328456016;323,36423;62,013066715439834;1,7827727050781164;-62,8418;-63,19618447758063;-61,932674;0,35438447758063063;-0,9091255920410148;-191,169;-253,01060573514175;-155,53075;61,84160573514174;0,36174645996092636;53,8184;60,6598116316941;53,573605;-6,8414116316941005;0,24479541625976253
322;588;514;401;533;376,953;333,2936910136282;385,71857;43,6593089863718;-8,765566894531275;-85,3198;-99,31597421630183;-78,863625;13,996174216301824;-6,4561754272460945;-233,005;-292,93576680602916;-193,2553;59,93076680602917;-3,749705200195308;-58,1104;-56,178748611877786;-58,490833;-1,9316513881222122;0,3804332824707046
269;727;469;531;485;399,536;344,7592157409881;399,37048;54,77678425901189;0,16551660156250136;-8,4375;-12,318882500173721;-7,8974943;3,8813825001737214;-0,5400056838989258;-204,931;-262,90732504182597;-169,3373;57,97632504182596;0,4062955322265509;15,6738;0;17,337008;15,6738;-1,6632075225830079
185;801;387;596;403;415,259;357,7723217370029;414,19153;57,48667826299709;1,0674716796875146;25,5377;31,370119778147426;25,902294;-5,832419778147425;-0,3645941589355459;-157,387;-211,24331796096672;-121,83299;53,85631796096672;0,44599255371093705;-17,3731;-14,942791065674605;-15,194027;-2,430308934325396;-2,1790730529785165
