['Starting Time', datetime.datetime(2024, 8, 5, 11, 12, 30, 705447), 'Duration (s)', 2.906378]
['No calibration pictures taken']
['Read Cam Calib Time', datetime.datetime(2024, 8, 5, 11, 12, 33, 611825), 'Duration (s)', 0.0]
['Read Stereo Calib Time', datetime.datetime(2024, 8, 5, 11, 12, 33, 611825), 'Duration (s)', 0.000998]
['Aruco Ref Calculation Time', datetime.datetime(2024, 8, 5, 11, 12, 33, 612823), 'Duration (s)', 0.033913]
['Search Time', datetime.datetime(2024, 8, 5, 11, 12, 39, 904003), 'Duration (s)', 0.00979]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 12, 39, 913793), 'Duration (s)', 0.181241]
['Search Time', datetime.datetime(2024, 8, 5, 11, 12, 40, 138992), 'Duration (s)', 0.019962]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 12, 40, 158954), 'Duration (s)', 0.051928]
['Search Time', datetime.datetime(2024, 8, 5, 11, 12, 40, 216797), 'Duration (s)', 0.011972]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 12, 40, 228769), 'Duration (s)', 0.052634]
['Search Time', datetime.datetime(2024, 8, 5, 11, 12, 40, 287390), 'Duration (s)', 0.012965]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 12, 40, 300355), 'Duration (s)', 0.052776]
['Search Time', datetime.datetime(2024, 8, 5, 11, 12, 40, 360322), 'Duration (s)', 0.010479]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 12, 40, 370801), 'Duration (s)', 0.052871]
['Search Time', datetime.datetime(2024, 8, 5, 11, 12, 40, 430086), 'Duration (s)', 0.036554]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 12, 40, 466640), 'Duration (s)', 0.05148]
['Search Time', datetime.datetime(2024, 8, 5, 11, 12, 40, 532085), 'Duration (s)', 0.03154]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 12, 40, 563625), 'Duration (s)', 0.05097]
['Search Time', datetime.datetime(2024, 8, 5, 11, 12, 40, 620610), 'Duration (s)', 0.040493]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 12, 40, 661103), 'Duration (s)', 0.057973]
['Search Time', datetime.datetime(2024, 8, 5, 11, 12, 40, 724575), 'Duration (s)', 0.029146]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 12, 40, 753721), 'Duration (s)', 0.053021]
['Search Time', datetime.datetime(2024, 8, 5, 11, 12, 40, 813759), 'Duration (s)', 0.055358]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 12, 40, 869117), 'Duration (s)', 0.051861]
['Search Time', datetime.datetime(2024, 8, 5, 11, 12, 40, 926995), 'Duration (s)', 0.041661]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 12, 40, 968656), 'Duration (s)', 0.051248]
['Search Time', datetime.datetime(2024, 8, 5, 11, 12, 41, 26353), 'Duration (s)', 0.029499]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 12, 41, 55852), 'Duration (s)', 0.062911]
['Search Time', datetime.datetime(2024, 8, 5, 11, 12, 41, 124281), 'Duration (s)', 0.031746]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 12, 41, 156027), 'Duration (s)', 0.053639]
['Search Time', datetime.datetime(2024, 8, 5, 11, 12, 41, 217569), 'Duration (s)', 0.047812]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 12, 41, 265381), 'Duration (s)', 0.05283]
['Search Time', datetime.datetime(2024, 8, 5, 11, 12, 41, 324232), 'Duration (s)', 0.040354]
['Estimation Position Time', datetime.datetime(2024, 8, 5, 11, 12, 41, 364586), 'Duration (s)', 0.050662]
